"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_28_A","10110_28","A",7,"Rocky Mountain Aspen Forest and Woodland",1146,1,20520,10110,28,32467,63
"2","10110_28_B","10110_28","B",35,"Rocky Mountain Aspen Forest and Woodland",1146,2,2400,10110,28,32467,7
"3","10110_28_C","10110_28","C",58,"Rocky Mountain Aspen Forest and Woodland",1146,3,1954,10110,28,32467,6
"4","10110_28_D","10110_28","D",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"5","10110_28_E","10110_28","E",NA,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"6","10110_28_Agriculture","10110_28","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1146,180,4588,10110,28,32467,14
"7","10110_28_Developed","10110_28","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1146,120,478,10110,28,32467,1
"8","10110_28_Water","10110_28","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10110_28_UN","10110_28","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"10","10110_28_UE","10110_28","UE",0,"Rocky Mountain Aspen Forest and Woodland",1146,7,2524,10110,28,32467,7
"11","10160_15_28_A","10160_15_28","A",10,"Colorado Plateau Pinyon-Juniper Woodland",1147,1,161671,10160,28,465942,34
"12","10160_15_28_B","10160_15_28","B",21,"Colorado Plateau Pinyon-Juniper Woodland",1147,2,5391,10160,28,465942,1
"13","10160_15_28_C","10160_15_28","C",25,"Colorado Plateau Pinyon-Juniper Woodland",1147,3,188313,10160,28,465942,40
"14","10160_15_28_D","10160_15_28","D",34,"Colorado Plateau Pinyon-Juniper Woodland",1147,4,86361,10160,28,465942,18
"15","10160_15_28_E","10160_15_28","E",10,"Colorado Plateau Pinyon-Juniper Woodland",1147,5,7586,10160,28,465942,1
"16","10160_15_28_Agriculture","10160_15_28","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",1147,180,4741,10160,28,465942,1
"17","10160_15_28_Developed","10160_15_28","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",1147,120,10389,10160,28,465942,2
"18","10160_15_28_Water","10160_15_28","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"19","10160_15_28_UN","10160_15_28","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"20","10160_15_28_UE","10160_15_28","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",1147,7,1399,10160,28,465942,0
"21","10160_16_23_24_25_A","10160_16_23_24_25","A",9,"Colorado Plateau Pinyon-Juniper Woodland",1339,1,17281,10160,25,51634,33
"22","10160_16_23_24_25_B","10160_16_23_24_25","B",21,"Colorado Plateau Pinyon-Juniper Woodland",1339,2,29,10160,25,51634,0
"23","10160_16_23_24_25_C","10160_16_23_24_25","C",24,"Colorado Plateau Pinyon-Juniper Woodland",1339,3,31626,10160,25,51634,61
"24","10160_16_23_24_25_D","10160_16_23_24_25","D",38,"Colorado Plateau Pinyon-Juniper Woodland",1339,4,1445,10160,25,51634,2
"25","10160_16_23_24_25_E","10160_16_23_24_25","E",8,"Colorado Plateau Pinyon-Juniper Woodland",1339,5,13,10160,25,51634,0
"26","10160_16_23_24_25_Agriculture","10160_16_23_24_25","Agriculture",0,"Colorado Plateau Pinyon-Juniper Woodland",1339,180,34,10160,25,51634,0
"27","10160_16_23_24_25_Developed","10160_16_23_24_25","Developed",0,"Colorado Plateau Pinyon-Juniper Woodland",1339,120,751,10160,25,51634,1
"28","10160_16_23_24_25_Water","10160_16_23_24_25","Water",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"29","10160_16_23_24_25_UN","10160_16_23_24_25","UN",0,"Colorado Plateau Pinyon-Juniper Woodland",NA,NA,NA,NA,NA,NA,NA
"30","10160_16_23_24_25_UE","10160_16_23_24_25","UE",0,"Colorado Plateau Pinyon-Juniper Woodland",1339,7,413,10160,25,51634,0
"31","10230_14_15_24_25_A","10230_14_15_24_25","A",21,"Madrean Encinal",1340,1,39604,10230,25,43568,90
"32","10230_14_15_24_25_B","10230_14_15_24_25","B",37,"Madrean Encinal",1340,2,762,10230,25,43568,1
"33","10230_14_15_24_25_C","10230_14_15_24_25","C",25,"Madrean Encinal",1340,3,175,10230,25,43568,0
"34","10230_14_15_24_25_D","10230_14_15_24_25","D",17,"Madrean Encinal",1340,4,86,10230,25,43568,0
"35","10230_14_15_24_25_E","10230_14_15_24_25","E",NA,"Madrean Encinal",NA,NA,NA,NA,NA,NA,NA
"36","10230_14_15_24_25_Agriculture","10230_14_15_24_25","Agriculture",0,"Madrean Encinal",1340,180,140,10230,25,43568,0
"37","10230_14_15_24_25_Developed","10230_14_15_24_25","Developed",0,"Madrean Encinal",1340,120,2244,10230,25,43568,5
"38","10230_14_15_24_25_Water","10230_14_15_24_25","Water",0,"Madrean Encinal",NA,NA,NA,NA,NA,NA,NA
