"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1177,3715910,11530,28,"11530_28","Inter-Mountain Basins Greasewood Flat","Shrubland",204,NA,NA,204,100,NA,NA,"V-A",225,225,225,0.882352941,0.882352941,0.882352941,826398,21.6
"2",1170,2681841,11260,28,"11260_6_12_17_18_28","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",49,NA,NA,49,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,596427,15.6
"3",1161,1819357,10801,28,"10801_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,NA,NA,72,100,NA,NA,"IV-A",255,190,232,1,0.745098039,0.909803922,404615,10.6
"4",1178,1682614,11590,28,"11590_28","Rocky Mountain Montane Riparian Systems","Riparian",270,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,374204,9.8
"5",1172,1444481,11350,28,"11350_15_28","Inter-Mountain Basins Semi-Desert Grassland","Grassland",77,37,NA,25,33,67,NA,"I-C",185,174,211,0.725490196,0.682352941,0.82745098,321245,8.4
"6",1364,1201464,11190,25,"11190_24_25","Southern Rocky Mountain Juniper Woodland and Savanna","Conifer",503,217,32,26,5,12,83,"I-C",135,86,20,0.529411765,0.337254902,0.078431373,267199,7
"7",2717,1005747,10804,25,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,223673,5.8
"8",1147,465942,10160,28,"10160_15_28","Colorado Plateau Pinyon-Juniper Woodland","Conifer",430,194,2245,126,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,103623,2.7
"9",1346,391843,10590,25,"10590_25","Southern Rocky Mountain Pinyon-Juniper Woodland","Conifer",243,253,107,58,24,23,53,"III-A",183,138,46,0.717647059,0.541176471,0.180392157,87144,2.3
"10",1367,326323,11270,25,"11270_16_23_24_25","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",105,NA,NA,105,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,72572,1.9
"11",1368,320343,11330,25,"11330_25","Chihuahuan Sandy Plains Semi-Desert Grassland","Grassland",896,NA,NA,896,100,NA,NA,"V-B",229,221,133,0.898039216,0.866666667,0.521568627,71243,1.9
"12",1171,287044,11270,28,"11270_28","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,63837,1.7
"13",1365,246149,11210,25,"11210_25","Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Grassland",NA,82,NA,82,NA,100,NA,"III-A",255,221,216,1,0.866666667,0.847058824,54742,1.4
"14",1374,218458,11590,25,"11590_25","Rocky Mountain Montane Riparian Systems","Riparian",272,NA,79,62,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,48584,1.3
"15",1176,176772,11460,28,"11460_15_16_23_24_25_28","Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",20,NA,21,10,52,NA,48,"I-B",167,205,178,0.654901961,0.803921569,0.698039216,39313,1
"16",1357,147863,11003,25,"11003_25","Chihuahuan Mixed Desert and Thorn Scrub-Steppe","Shrubland",NA,NA,NA,NA,NA,NA,NA,NA,205,137,102,0.803921569,0.537254902,0.4,32884,0.9
"17",1372,160234,11530,25,"11530_16_23_24_25_27","Inter-Mountain Basins Greasewood Flat","Shrubland",208,NA,NA,208,100,NA,NA,"V-A",225,225,225,0.882352941,0.882352941,0.882352941,35635,0.9
"18",31,111360,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,24766,0.6
"19",11,91605,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,20372,0.5
"20",1150,64128,10510,28,"10510_28","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",325,54,32,19,6,35,59,"I-C",190,210,255,0.745098039,0.823529412,1,14262,0.4
"21",1356,69129,11002,25,"11002_25","Chihuahuan Mixed Desert and Thorn Scrub-Shrubland","Shrubland",841,NA,NA,841,100,NA,NA,"V-B",245,162,122,0.960784314,0.635294118,0.478431373,15374,0.4
"22",1373,64015,11550,25,"11550_25","North American Warm Desert Riparian Systems","Riparian",225,NA,NA,225,100,NA,NA,"V-A",123,160,117,0.482352941,0.62745098,0.458823529,14237,0.4
"23",1152,58364,10540,28,"10540_28","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",505,159,24,20,4,13,83,"I-C",168,56,0,0.658823529,0.219607843,0,12980,0.3
"24",1165,46315,11070,28,"11070_25_28","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,171,NA,39,77,23,NA,"III-A",115,255,223,0.450980392,1,0.874509804,10300,0.3
"25",1339,52551,10160,25,"10160_16_23_24_25","Colorado Plateau Pinyon-Juniper Woodland","Conifer",435,195,2265,127,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,11687,0.3
"26",1340,43568,10230,25,"10230_14_15_24_25","Madrean Encinal","Conifer",125,191,33,23,18,13,69,"I-C",0,167,132,0,0.654901961,0.517647059,9689,0.3
"27",1345,49277,10540,25,"10540_15_25","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",396,108,10,9,2,9,89,"I-B",168,56,0,0.658823529,0.219607843,0,10959,0.3
"28",1146,32467,10110,28,"10110_28","Rocky Mountain Aspen Forest and Woodland","Hardwood",145,1732,844,116,79,7,14,"IV-B",255,255,115,1,1,0.450980392,7220,0.2
"29",1157,33242,10610,28,"10610_22_27_28","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",78,73,126,29,37,40,23,"I-C",230,230,0,0.901960784,0.901960784,0,7393,0.2
"30",1359,38544,11040,25,"11040_13_14_25","Mogollon Chaparral","Shrubland",77,NA,NA,77,100,NA,NA,"IV-A",173,250,211,0.678431373,0.980392157,0.82745098,8572,0.2
"31",390,10494,11250,25,"11250_6_12_13_15_16_17_18_23_24_25_28","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",117,NA,NA,117,100,NA,NA,"IV-B",255,115,223,1,0.450980392,0.874509804,2334,0.1
"32",1144,20793,10010,28,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,4624,0.1
"33",1151,8740,10520,28,"10520_28","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",202,144,153,54,27,38,35,"III-A",115,149,230,0.450980392,0.584313725,0.901960784,1944,0.1
"34",1163,25578,10860,28,"10860_28","Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",73,210,NA,54,74,26,NA,"III-A",137,68,101,0.537254902,0.266666667,0.396078431,5688,0.1
"35",1167,10162,11170,28,"11170_13_15_28","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",368,NA,11,11,3,NA,97,"I-B",255,85,0,1,0.333333333,0,2260,0.1
"36",1168,17649,11190,28,"11190_28","Southern Rocky Mountain Juniper Woodland and Savanna","Conifer",501,212,32,26,6,12,82,"I-C",135,86,20,0.529411765,0.337254902,0.078431373,3925,0.1
