"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_28",0.0084652,"Rocky Mountain Aspen Forest and Woodland",1146,7220,0.2,61.118744
"2","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",1147,103623,2.7,835.2842784
"3","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1339,11483,0.3,90.1691092
"4","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",1340,9689,0.3,418.2470008
"5","All Fire","10240_25_27",0.1414966,"Madrean Lower Montane Pine-Oak Forest and Woodland",1341,38,0,5.3768708
"6","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",1342,72,0,1.5549552
"7","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",1149,242,0,1.9614584
"8","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1343,407,0,38.0519766
"9","All Fire","10510_28",0.0538472,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1150,14262,0.4,767.9687664
"10","All Fire","10520_28",0.0184546,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1151,1944,0.1,35.8757424
"11","All Fire","10540_15_25",0.1084062,"Southern Rocky Mountain Ponderosa Pine Woodland",1345,10883,0.3,1179.7846746
"12","All Fire","10540_28",0.0496688,"Southern Rocky Mountain Ponderosa Pine Woodland",1152,12980,0.3,644.701024
"13","All Fire","10541_27",0.091643,"Southern Rocky Mountain Ponderosa Pine Woodland - South",1477,0,0,0
"14","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1153,75,0,0.54726
"15","All Fire","10570_28",0.0068034,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",1155,62,0,0.4218108
"16","All Fire","10590_24_28",0.0079486,"Southern Rocky Mountain Pinyon-Juniper Woodland",1156,1798,0,14.2915828
"17","All Fire","10590_25",0.017319,"Southern Rocky Mountain Pinyon-Juniper Woodland",1346,86531,2.3,1498.630389
"18","All Fire","10590_27_33",0.0071644,"Southern Rocky Mountain Pinyon-Juniper Woodland",1480,43,0,0.3080692
"19","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1157,7393,0.2,257.9846494
"20","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1159,0,0,0
"21","All Fire","10720_28",0.0078584,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",388,207,0,1.6266888
"22","All Fire","10750_25",0.002642,"Chihuahuan Mixed Salt Desert Scrub",1349,72,0,0.190224
"23","All Fire","10770_25_26",0.0062666,"Chihuahuan Succulent Desert Scrub",1350,3479,0.1,21.8015014
"24","All Fire","10801_21_22_28",0.0136586,"Inter-Mountain Basins Big Sagebrush Shrubland - Basin Big Sagebrush",1161,404615,10.7,5526.474439
"25","All Fire","10803_6_12_15_16_17_18_23_24_25",0.0066022,"Inter-Mountain Basins Big Sagebrush Shrubland - Semi-Desert",2716,280,0,1.848616
"26","All Fire","10804_6_12_15_16_17_18_23_24_25",0.0084418,"Inter-Mountain Basins Big Sagebrush Shrubland - Upland",2717,223221,5.9,1884.3870378
"27","All Fire","10810_15_16_23_24_28",0.001596,"Inter-Mountain Basins Mixed Salt Desert Scrub",1162,454,0,0.724584
"28","All Fire","10810_27_33",0.0042778,"Inter-Mountain Basins Mixed Salt Desert Scrub",2718,3,0,0.0128334
