"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,91605,"Open Water",0,0,255,0,0,1,20372,0.5
"2",12,608,"Snow/Ice",159,161,240,0.623529,0.631373,0.941176,135,0
"3",13,9059,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,2015,0.1
"4",14,14460,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,3216,0.1
"5",15,915,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,203,0
"6",16,17825,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,3964,0.1
"7",17,194212,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,43192,1.1
"8",22,68626,"Developed-Low Intensity",255,122,143,1,0.478431,0.560784,15262,0.4
"9",23,36937,"Developed-Medium Intensity",253,44,79,0.992157,0.172549,0.309804,8215,0.2
"10",24,9861,"Developed-High Intensity",173,0,28,0.678431,0,0.109804,2193,0.1
"11",25,389596,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,86644,2.3
"12",31,111360,"Barren",191,191,191,0.74902,0.74902,0.74902,24766,0.6
"13",32,13474,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,2997,0.1
"14",63,265923,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,59140,1.5
"15",64,278737,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,61990,1.6
"16",65,999243,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,222226,5.8
"17",68,32084,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,7135,0.2
"18",100,46405,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,10320,0.3
"19",110,685291,"Tree Cover = 10%",204,255,153,0.8,1,0.6,152405,4
"20",111,133698,"Tree Cover = 11%",202,252,151,0.792157,0.988235,0.592157,29734,0.8
"21",112,135551,"Tree Cover = 12%",199,250,147,0.780392,0.980392,0.576471,30146,0.8
"22",113,126705,"Tree Cover = 13%",194,247,143,0.760784,0.968627,0.560784,28179,0.7
"23",114,112536,"Tree Cover = 14%",192,245,142,0.752941,0.960784,0.556863,25027,0.7
"24",115,107245,"Tree Cover = 15%",188,242,138,0.737255,0.94902,0.541176,23851,0.6
"25",116,86942,"Tree Cover = 16%",183,240,134,0.717647,0.941176,0.52549,19335,0.5
"26",117,78474,"Tree Cover = 17%",181,237,133,0.709804,0.929412,0.521569,17452,0.5
"27",118,71985,"Tree Cover = 18%",178,235,129,0.698039,0.921569,0.505882,16009,0.4
"28",119,69123,"Tree Cover = 19%",173,232,125,0.678431,0.909804,0.490196,15373,0.4
"29",120,66799,"Tree Cover = 20%",173,232,125,0.678431,0.909804,0.490196,14856,0.4
"30",121,62629,"Tree Cover = 21%",170,230,122,0.666667,0.901961,0.478431,13928,0.4
"31",122,54887,"Tree Cover = 22%",165,227,118,0.647059,0.890196,0.462745,12207,0.3
"32",123,47897,"Tree Cover = 23%",163,224,117,0.639216,0.878431,0.458824,10652,0.3
"33",124,42708,"Tree Cover = 24%",160,222,113,0.627451,0.870588,0.443137,9498,0.2
"34",125,46348,"Tree Cover = 25%",155,219,110,0.607843,0.858824,0.431373,10308,0.3
"35",126,34484,"Tree Cover = 26%",154,217,108,0.603922,0.85098,0.423529,7669,0.2
"36",127,31264,"Tree Cover = 27%",150,214,105,0.588235,0.839216,0.411765,6953,0.2
"37",128,27697,"Tree Cover = 28%",146,212,102,0.572549,0.831373,0.4,6160,0.2
"38",129,23991,"Tree Cover = 29%",144,209,100,0.564706,0.819608,0.392157,5335,0.1
"39",130,20153,"Tree Cover = 30%",143,209,98,0.560784,0.819608,0.384314,4482,0.1
"40",131,16775,"Tree Cover = 31%",138,207,95,0.541176,0.811765,0.372549,3731,0.1
"41",132,14068,"Tree Cover = 32%",136,204,94,0.533333,0.8,0.368627,3129,0.1
"42",133,11954,"Tree Cover = 33%",133,201,91,0.521569,0.788235,0.356863,2659,0.1
"43",134,9664,"Tree Cover = 34%",128,199,88,0.501961,0.780392,0.345098,2149,0.1
"44",135,10960,"Tree Cover = 35%",127,196,86,0.498039,0.768627,0.337255,2437,0.1
"45",136,6896,"Tree Cover = 36%",124,194,83,0.486275,0.760784,0.32549,1534,0
"46",137,6401,"Tree Cover = 37%",119,191,80,0.466667,0.74902,0.313725,1424,0
"47",138,5080,"Tree Cover = 38%",118,189,79,0.462745,0.741176,0.309804,1130,0
"48",139,4561,"Tree Cover = 39%",115,186,76,0.45098,0.729412,0.298039,1014,0
"49",140,3879,"Tree Cover = 40%",112,186,74,0.439216,0.729412,0.290196,863,0
"50",141,10496,"Tree Cover = 41%",110,184,73,0.431373,0.721569,0.286275,2334,0.1
"51",142,1517,"Tree Cover = 42%",107,181,71,0.419608,0.709804,0.278431,337,0
"52",143,1396,"Tree Cover = 43%",103,179,68,0.403922,0.701961,0.266667,310,0
"53",144,1257,"Tree Cover = 44%",101,176,67,0.396078,0.690196,0.262745,280,0
"54",145,1585,"Tree Cover = 45%",99,173,64,0.388235,0.678431,0.25098,352,0
"55",146,941,"Tree Cover = 46%",94,171,62,0.368627,0.670588,0.243137,209,0
"56",147,861,"Tree Cover = 47%",93,168,61,0.364706,0.658824,0.239216,191,0
"57",148,779,"Tree Cover = 48%",90,166,58,0.352941,0.65098,0.227451,173,0
"58",149,677,"Tree Cover = 49%",86,163,55,0.337255,0.639216,0.215686,151,0
"59",150,600,"Tree Cover = 50%",86,163,55,0.337255,0.639216,0.215686,133,0
"60",151,510,"Tree Cover = 51%",84,161,53,0.329412,0.631373,0.207843,113,0
"61",152,462,"Tree Cover = 52%",79,158,51,0.309804,0.619608,0.2,103,0
"62",153,414,"Tree Cover = 53%",78,156,50,0.305882,0.611765,0.196078,92,0
"63",154,316,"Tree Cover = 54%",76,153,47,0.298039,0.6,0.184314,70,0
"64",155,773,"Tree Cover = 55%",71,150,45,0.278431,0.588235,0.176471,172,0
"65",156,301,"Tree Cover = 56%",69,148,43,0.270588,0.580392,0.168627,67,0
"66",157,258,"Tree Cover = 57%",68,145,42,0.266667,0.568627,0.164706,57,0
"67",158,471,"Tree Cover = 58%",64,143,40,0.25098,0.560784,0.156863,105,0
"68",159,175,"Tree Cover = 59%",62,140,38,0.243137,0.54902,0.14902,39,0
"69",160,137,"Tree Cover = 60%",62,140,38,0.243137,0.54902,0.14902,30,0
"70",161,535,"Tree Cover = 61%",58,138,36,0.227451,0.541176,0.141176,119,0
"71",162,27,"Tree Cover = 62%",56,135,34,0.219608,0.529412,0.133333,6,0
"72",163,34,"Tree Cover = 63%",55,133,33,0.215686,0.521569,0.129412,8,0
"73",164,35,"Tree Cover = 64%",51,130,31,0.2,0.509804,0.121569,8,0
"74",165,140,"Tree Cover = 65%",49,128,29,0.192157,0.501961,0.113725,31,0
"75",166,115,"Tree Cover = 66%",48,125,29,0.188235,0.490196,0.113725,26,0
"76",167,3,"Tree Cover = 67%",44,122,27,0.172549,0.478431,0.105882,1,0
"77",168,7,"Tree Cover = 68%",43,120,25,0.168627,0.470588,0.098039,2,0
"78",169,1,"Tree Cover = 69%",42,117,25,0.164706,0.458824,0.098039,0,0
