"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,91605,"Open Water",0,0,255,0,0,1,20372,0.5
"2",12,608,"Snow/Ice",159,161,240,0.623529,0.631373,0.941176,135,0
"3",13,9059,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,2015,0.1
"4",14,14460,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,3216,0.1
"5",15,915,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,203,0
"6",16,17825,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,3964,0.1
"7",17,194212,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,43192,1.1
"8",22,68626,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,15262,0.4
"9",23,36937,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,8215,0.2
"10",24,9861,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,2193,0.1
"11",25,389596,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,86644,2.3
"12",31,111360,"Barren",191,191,191,0.74902,0.74902,0.74902,24766,0.6
"13",32,13474,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,2997,0.1
"14",63,265923,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,59140,1.5
"15",64,278737,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,61990,1.6
"16",65,999243,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,222226,5.8
"17",68,32084,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,7135,0.2
"18",100,46405,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,10320,0.3
"19",101,681168,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,151488,4
"20",102,365853,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,81364,2.1
"21",103,366479,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,81503,2.1
"22",104,281680,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,62644,1.6
"23",105,159820,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,35543,0.9
"24",106,88537,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,19690,0.5
"25",107,56979,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,12672,0.3
"26",108,49842,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,11085,0.3
"27",109,32248,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,7172,0.2
"28",110,26441,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,5880,0.2
"29",111,19987,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,4445,0.1
"30",112,15943,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,3546,0.1
"31",113,11030,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,2453,0.1
"32",114,15403,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,3426,0.1
"33",115,2728,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,607,0
"34",116,1604,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,357,0
"35",117,1194,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,266,0
"36",118,3100,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,689,0
"37",119,389,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,87,0
"38",120,1059,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,236,0
"39",122,2,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,0,0
"40",125,2,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,0,0
"41",138,5,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,1,0
"42",201,7871,"Shrub Height = 0.1 meter",212,178,125,0.831373,0.698039,0.490196,1750,0
"43",202,1435215,"Shrub Height = 0.2 meter",212,174,121,0.831373,0.682353,0.47451,319184,8.3
"44",203,3525399,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,784030,20.5
"45",204,1417923,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,315338,8.2
"46",205,373147,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,82986,2.2
"47",206,122164,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,27169,0.7
"48",207,381720,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,84892,2.2
"49",208,1083505,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,240966,6.3
"50",209,463156,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,103003,2.7
"51",210,5570,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,1239,0
"52",211,455128,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,101218,2.6
"53",212,102394,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,22772,0.6
"54",213,23883,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,5311,0.1
"55",214,2949,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,656,0
"56",215,2118,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,471,0
"57",216,2490,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,554,0
"58",217,1665,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,370,0
"59",218,1811,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,403,0
"60",219,1406,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,313,0
"61",220,1628,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,362,0
"62",221,1413,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,314,0
"63",222,1120,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,249,0
"64",223,637,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,142,0
"65",224,612,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,136,0
"66",225,283,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,63,0
"67",226,222,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,49,0
"68",227,108,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,24,0
"69",228,1245,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,277,0
"70",229,55,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,12,0
"71",230,272,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,60,0
"72",301,68289,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,15187,0.4
"73",302,2068834,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,460098,12
"74",303,734744,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,163403,4.3
